Sprint,Bug ID,Bug Title,Who found,Platform,Functionality,How many times reproduced,Root Cause,Status,Priorities,Severity,Created Date,Changed Date,Time for solve
222,7250,The exception error after deleting the Module from step while editing workflow,QA,"AT Portal(prod), AT Portal(dev)",Workflow,1,,Closed,3 - Medium,3 - Medium,04.01.2023,24.01.2023,20
222,7251,The exception error after creation of the custom fields,QA,"AT Portal(prod), AT Portal(dev)",Custom fields,1,"the algorithm of the index generation
",Closed,3 - Medium,3 - Medium,04.01.2023,20.01.2023,16
222,7252,The success notification are displayed with duplicates,QA,"AT Portal(prod), AT Portal(dev)",Settings,1,,Not reproduced,3 - Medium,3 - Medium,04.01.2023,10.01.2023,6
221,7253,SFTP doesn't work for CentOS server,DevOps,"OPS(dev), OPS(prod)","""Save to package/storage"" stuff on OPS",1,,Closed,3 - Medium,3 - Medium,04.01.2023,10.01.2023,6
223,7254,QC: Throw NoMatchException during Doc generation,Developer,"OPS(dev), OPS(prod)",QC,1,wrong msi name,Closed,3 - Medium,3 - Medium,04.01.2023,06.02.2023,33
221,7285,Echo Repackage doesn`t work,QA,"AT Portal(prod), AT Portal(dev)",Echo,1,,To Do,3 - Medium,3 - Medium,12.01.2023,14.08.2023,214
251,7286,Issue with Zone files - VMs,Customer(Internal),"OPS(dev), OPS(prod)",VMs,1,,Closed,3 - Medium,3 - Medium,12.01.2023,16.01.2023,4
222,7287,AXA DaaS. The email with credentials is not sent,QA,AXA vDaaS(dev),Create new user,1,,Closed,3 - Medium,3 - Medium,13.01.2023,24.01.2023,11
222,7293,Fix type in email template,Developer,"AT Portal(prod), AT Portal(dev)",Email,1,,Closed,3 - Medium,3 - Medium,13.01.2023,24.01.2023,11
224,7303,"""Copy project"" does not work",Developer,"AT Portal(prod), AT Portal(dev)",Copy Project,1,,Not reproduced,3 - Medium,3 - Medium,16.01.2023,06.03.2023,49
222,7304,Deleting of the imported file doesn`t work,QA,"AT Portal(prod), AT Portal(dev)",Import,1,"QA fault, was not tested this functionality.",Closed,3 - Medium,3 - Medium,16.01.2023,20.01.2023,4
-,7306,The MSIName propertly isn`t filled on the Wrapper Generator,QA,"AT Portal(prod), AT Portal(dev)",Wrapper Generator,1,,Not reproduced,3 - Medium,3 - Medium,17.01.2023,08.08.2023,203
-,7307,Exception error while uploading/deleting of the Profile Avatar,QA,SSO,Avatar,1,,Not reproduced,3 - Medium,3 - Medium,17.01.2023,08.08.2023,203
222,7313,Failed to login to the ToGo Agent,QA,"AT Portal(prod), AT Portal(dev)","ToGo, SCCM",1,default user data directory for Edge WebView2 is where the initiated application is installed,Closed,3 - Medium,3 - Medium,18.01.2023,24.01.2023,6
222,7315,AT Portal. Can`t save Packaging - Factory Service settings,QA,"AT Portal(prod), AT Portal(dev)",Settings,1,,Closed,3 - Medium,3 - Medium,18.01.2023,17.02.2023,30
-,7318,No data in KPI stats,Customer(Internal),"OPS(dev), OPS(prod)",KPI,1,,To Do,2 - High,3 - Medium,18.01.2023,08.03.2023,49
-,7329,AT Portal. Packaging - FS settings dissappeared after switching between subsections,QA,"AT Portal(prod), AT Portal(dev)",Settings,1,,To Do,3 - Medium,3 - Medium,23.01.2023,23.01.2023,0
222,7332,The ToGo agent doesn`t delete source folder from the Virtual Machine,QA,"AT Portal(prod), AT Portal(dev)",VM,1,,Closed,3 - Medium,3 - Medium,23.01.2023,24.01.2023,1
222,7333,The HTTP error occured while uploading image to the User Guides,QA,"AT Portal(prod), AT Portal(dev)",User Guides,1,removed 'sftpstoragetest2' storage account in the 'server-dev-westeurope' resource group.,Closed,3 - Medium,3 - Medium,23.01.2023,24.01.2023,1
222,7336,ServiceNow connection with AT Portal failed,QA,"AT Portal(prod), AT Portal(dev)",ServiceNow,1,The User Guide was miswritten.,Not reproduced,3 - Medium,3 - Medium,23.01.2023,24.01.2023,1
-,7346,VMs - Show hidden files in Total Commander,Customer(Internal),"OPS(dev), OPS(prod)",VM,1,,Removed,3 - Medium,3 - Medium,24.01.2023,24.01.2023,0
-,7349,OPS. typo in Shifts tab,QA,"OPS(dev), OPS(prod)",Wording,1,,To Do,4 - Low,4 - Low,24.01.2023,02.02.2023,9
-,7350,OPS. 404 Error while finding substitues,QA,"OPS(dev), OPS(prod)",Support,1,,To Do,3 - Medium,3 - Medium,25.01.2023,02.02.2023,8
-,7360,OPS. Invalid downloaded .zip archive of invoices,QA,"OPS(dev), OPS(prod)",Invoice Collector,1,,To Do,4 - Low,3 - Medium,25.01.2023,03.02.2023,9
-,7361,OPS. 500 error while trying to print accounting report,QA,"OPS(dev), OPS(prod)",Accounting,1,,To Do,4 - Low,3 - Medium,25.01.2023,03.02.2023,9
-,7365,OPS. Bugs Month statistics are not grouped,QA,"OPS(dev), OPS(prod)",KPI,1,,To Do,3 - Medium,3 - Medium,26.01.2023,08.02.2023,13
-,7366,OPS. Typo in Internal/Bugs edit forms,QA,"OPS(dev), OPS(prod)",KPI,1,,To Do,4 - Low,3 - Medium,26.01.2023,03.02.2023,8
-,7367,OPS: InvoiceCollectionJob.Collect fails,Developer,"OPS(dev), OPS(prod)",Invoice Collector,1,,To Do,3 - Medium,3 - Medium,26.01.2023,02.02.2023,7
223,7369,VM stuck at 'Created' status,Developer,"AT Portal(prod), AT Portal(dev)",Import,1,Intune Push problem,Closed,2 - High,3 - Medium,26.01.2023,07.02.2023,12
223,7370,AT portal. Intune push isn`t working,QA,"AT Portal(prod), AT Portal(dev)",IntunePush,1,,Closed,3 - Medium,3 - Medium,26.01.2023,17.02.2023,22
-,7377,OPS. SendGrid is not available on development environment,QA,"OPS(dev), OPS(prod)",Mailer,1,,To Do,3 - Medium,3 - Medium,30.01.2023,30.01.2023,0
227,7398,EDEKA Windows 10 Pro x64 DE (21H2) - some applications are missing in #tools,Customer(Internal),"OPS(dev), OPS(prod)",VM,1,,Closed,3 - Medium,3 - Medium,31.01.2023,21.03.2023,49
-,7401,OPS: Wrong WG reference for AAP project from DevOPS Area,Customer(Internal),"OPS(dev), OPS(prod)",DevOPS area,1,,To Do,3 - Medium,3 - Medium,01.02.2023,01.02.2023,0
-,7417,Remove file in folder on Apptimized storage redirects to root directory,Customer(Internal),"AT Portal(prod), AT Portal(dev)",Storage,1,,To Do,3 - Medium,3 - Medium,01.02.2023,24.02.2023,23
223,7427,UM AutoRequest false creating,Customer,"AT Portal(prod), AT Portal(dev)",UM,1,,Closed,3 - Medium,3 - Medium,02.02.2023,17.02.2023,15
224,7439,OPS: TT Total field miscalculation,Managment,"OPS(dev), OPS(prod)",Time Tracker,1,"KpiTrackerCollectionJob.ObtainBugfixes' ran at 0:00 on 23.12.2022, it created the 'project package' record in the OPS database but it did not take into account the time tracker records logged by the packager and set the 'packaging time' to 0 hours",Closed,3 - Medium,3 - Medium,06.02.2023,21.02.2023,15
